,Article 1,Article 2,Article 3,Article 4,Article 5,Article 6,Article 7,Article 8,Article 9,Article 10,Article 11,Article 12,Article 13,Article 14,Article 15,Article 16,Article 17,Article 18,Article 19,Article 20,Article 21,Article 22,Article 23,Article 24,Article 25,Article 26,Article 27,Article 28,Article 29,Article 30,Article 31,Article 32,Article 33,Article 34,Article 35,Article 36,Article 37,Article 38,Article 39,Article 40,Article 41,Article 42,Article 43,Article 44,Article 45,Article 46,Article 47,Article 48,Article 49,Article 50
Source 1 Characterized Correctly,4,4,7,5,4,1,3,4,4,3,7,3,5,0,1,5,3,3,4,7,7,4,0,0,1,2,4,3,4,3,7,4,3,4,4,2,4,7,3,7,2,0,4,2,4,3,7,4,0,2
Source 2 Category,1,3,3,0,2,1,0,0,1,0,0,3,3,3,0,3,3,3,3,0,0,0,3,1,2,3,3,0,3,0,0,3,3,3,3,3,3,0,3,0,2,3,3,3,3,2,0,3,0,3
Source 2 Link Provided,1,2,1,1,2,1,0,0,2,1,0,2,1,1,0,2,2,2,2,0,0,0,2,1,2,2,2,0,2,2,0,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2,2,2
Source 2 Impact Factor,https://w3.blaylockwellness.com/Health/BWR/Offers/BWR-Renewal,http://blogs.redcross.org.uk/,http://time.com/,No additional sources,http://annals.org/,http://www.inchem.org/,,,https://www.ncbi.nlm.nih.gov,No additional source,,https://www.littlethings.com/,Could not locate,NY Daily News,,medicaldaily.com,https://www.imf.org/,https://www.parents.com/baby,http://www.politifact.com/,,,,https://realfarmacy.com/,https://books.google.com/books?id=ni1eAgAAQBAJ&pg=PA97&lpg=PA97&dq=These+recommendations+are+no+longer+scientifically+or+morally+defensible.+The+discovery+a+few+years+ago+that+inflammation+in+the+artery+wall+is+the+real+cause+of+heart+disease+is+slowly+leading+to+a+paradigm+shift+in+how+heart+disease+and+other+chronic+ailments+will+be+treated.&source=bl&ots=Fz8lneRarN&sig=fgIGwzW3fo7WldIPSsdA0lEj-Mg&hl=en&sa=X&ved=0ahUKEwiMmZDugZrYAhUq64MKHVu4BT8Q6AEIPDAE#v=onepage&q=These%20recommendations%20are%20no%20longer%20scientifically%20or%20morally%20defensible.%20The%20discovery%20a%20few%20years%20ago%20that%20inflammation%20in%20the%20artery%20wall%20is%20the%20real%20cause%20of%20heart%20disease%20is%20slowly%20leading%20to%20a%20paradigm%20shift%20in%20how%20heart%20disease%20and%20other%20chronic%20ailments%20will%20be%20treated.&f=false,http://www.sciencedirect.com/,https://www.hcfcd.org,https://www.usnews.com,,alz.org,,,could not locate,could not locate,could not locate,could not locate,could not locate,could not locate,,could not locate,,2.03,could not locate,could not locate,could not locate,could not locate,2.03,,could not locate,Could not locate,could not locate
Source 2 Characterized Correctly,4,4,3,5,4,2,7,7,2,5,7,3,5,3,7,3,3,4,4,7,7,7,3,4,4,2,4,7,4,3,7,5,4,4,6,3,4,7,3,7,3,0,7,2,4,2,7,3,0,4
Source 3 Category,0,3,3,3,3,3,0,0,3,3,0,3,1,3,0,0,3,3,3,0,0,0,3,1,3,0,3,0,3,1,0,3,0,3,3,3,1,0,0,0,0,0,1,3,3,0,0,1,0,3
Source 3 Link Provided,0,1,2,1,2,1,0,0,2,1,0,2,1,2,0,0,2,2,2,0,0,0,2,2,2,2,2,0,2,1,0,2,0,2,2,2,1,0,0,0,0,1,1,2,1,0,0,2,0,2
Source 3 Impact Factor,,"I'm not able to since it just says ""additional reporting by agencies."" It's not clear what those agencies are.",http://www.bmj.com/,No additional sources,https://www.ncbi.nlm.nih.gov/,https://www.ncbi.nlm.nih.gov/,,,https://www.ncbi.nlm.nih.gov/,No additional source,,http://www.wtvm.com/,Could not locate,NY Daily News,,,http://media.gm.com/,https://www.parents.com,https://www.theguardian.com,,,,http://www.rejuvenation-science.com/,https://www.amazon.com/Grand-Design-Health-James-Darnell-ebook/dp/B071X9V4QV,https://www.cchrint.org/,http://tcwp.tamu.edu/,http://www.nydailynews.com/,,http://www.alzheimer.ca/,https://www.alternet.org/,,could not locate,,could not locate,could not locate,could not locate,,,,,,3.614,could not locate,could not locate,could not locate,,,could not locate,,8.22
Source 3 Characterized Correctly,7,5,5,5,2,4,7,7,2,5,7,4,5,4,7,7,4,4,4,7,7,7,2,1,4,3,4,7,4,3,7,5,7,3,6,2,1,7,7,7,7,1,7,3,4,7,7,3,7,4
Number of Ads,6,3,2,0,9,1,0,4,5,0,1,4,0,1,5,1,0,4,2,3,,1,6,0,1,0,5,3,0,1,2,6,3,1,0,0,5,0,1,3,0,23,2,0,12,1,0,2,0,0
Number of Content Recommendations,1,0,4,0,4,6,0,0,0,1,0,0,0,8,0,0,0,21,4,0,,5,1,12,,0,1,6,5,1,4,2,3,3,7,3,3,3,2,1,4,5,3,3,3,2,1,4,4,4
Number of Sponsored Content,1,1,2,0,2,1,0,9,5,0,1,2,0,1,1,1,0,2,2,0,,1,1,0,3,0,1,1,0,1,1,1,3,1,0,0,3,0,1,3,0,2,1,0,0,1,0,1,0,0
Number of Social Share Calls,1,1,11,5,8,11,11,22,11,9,10,7,10,8,11,1,13,8,17,21,,7,1,6,3,4,2,5,8,3,5,4,21,0,2,2,4,2,14,8,10,20,4,3,4,3,2,3,19,0
Number Calls to Join Mailing List,0,1,2,0,2,3,0,0,,1,0,0,,2,0,1,0,1,4,0,,2,0,0,1,0,0,2,2,,1,2,1,2,0,0,2,0,2,1,2,0,1,1,0,0,0,1,1,0
Article has Spammy/Clickbaity Ads,4,1,1,4,1,1,2,1,1,4,4,1,3,3,3,1,0,7,1,2,7,3,4,3,0,4,1,4,3,3,0,0,2,3,3,4,2,2,4,0,4,4,0,3,0,0,2,0,4,0
Article has Aggressive Ads/Calls,4,0,1,3,1,4,4,3,1,4,4,1,1,4,3,3,1,7,3,4,7,2,1,1,0,4,0,4,3,1,0,0,4,3,1,0,3,2,4,0,4,3,0,3,0,4,4,1,4,0
Credibility Post Article,2,2,5,5,5,1,5,5,4,5,5,2,0,2,2,0,3,3,4,5,6,3,0,1,3,2,5,3,4,3,4,4,3,3,3,2,3,2,2,4,1,1,4,1,4,0,0,4,0,3
