Title,Link,Date,Outlet,Country,Summary,Disproof,Article Title,Article Source,Article Media,Reported In,Publication Date,Audience,Article Country,Keywords
EU is not publishing the coronavirus disinformation cases it accuses Russia of spreading,https://euvsdisinfo.eu/report/the-eu-is-not-publishing-the-coronavirus-disinformation-cases-it-accuses-russia-of-spreading/,22.03.2020,RT Arabic,"Russia, US","The European report points to a record “80 cases of Russian disinformation” that attacked the performance of national systems for monitoring and eliminating epidemics in Europe, according to the Financial Times. Likewise, the suspicions “published by Russia” about America’s role in the Corona issue can only be considered a campaign of misleading public opinion, as is understood from the report. However, a question arises here: Why have not all the 80 such cases been widely published, especially as Russia is “trying to spread the atmosphere of terror among European societies” and “spreading division” as the European Union claims? Do not such matters affect European national security in the eyes of Europeans?
It is always possible to invent anything when facts are not available. In this case the evidence is not necessary, but it is sufficient to put a “highly confidential” stamp and refer to high-level sources. Those who practice this will keep it a secret if they have nothing to offer. The reason is the absence of evidence and facts, that is, they have nothing to say … so simply.","This is a recurring pro-Kremlin disinformation narrative denying that Russian media had been involved in spreading disinformation about the coronavirus.
It is simply not true that the EU has not published the Russian media cases of disinformation. As of 19 March, our database has collected and published over 110 corona-related disinformation cases in the public EUvsDisinfo database since 22 January 2020. These messages are characteristic of the Kremlin’s well-established strategy of using disinformation to amplify divisions, sow distrust and chaos, and exacerbate crisis situations and issues of public concern.
Here is a summary of the main disinformation messages Russian media (including official media) has been spreading about the coronavirus:
• Messages targeting domestic Russian audiences describe the virus as a form of foreign aggression, for instance claiming that the coronavirus originates in secret US or Western laboratories and emphasising that challenges coping with the virus mainly affect foreign and democratic countries, while Russia is fighting the outbreak
• Messages targeting international audiences (in English, Italian, Spanish and Arabic, among other languages) follow a different approach: they focus primarily on conspiracy theories about “global elites” deliberately weaponising or exploiting the virus for their own ends. Here the aim is to induce distrust in national and European authorities and healthcare systems, international institutions, and scientific experts, among others.
• Narratives describing the virus as man-made is present in disinformation targeting all audiences.",Disinfo: EU is not publishing the coronavirus disinformation cases it accuses Russia of spreading,,,Issue 189,22/03/2020,Arabic,"Russia, US","coronavirus, Conspiracy theory, Biological weapons, European Union"
Amid the pandemic the idea of a united Europe has crashed,https://euvsdisinfo.eu/report/amid-the-pandemic-the-idea-of-a-united-europe-has-crashed/,22.03.2020,NTV,"Slovakia, UK, Ukraine, Germany, Sweden","Idea of a united Europe has crashed. The idea of fraternal nations of Europe turned into the idea of each for its own.
NATO exercises to defend Europe have been cancelled, Sweden tries to remind that Russian threat is in its backyard – no one cares about it, Slovakia tried to buy masks from Ukraine, Germany bought them instead, UK asked its citizens abroad to stay there, as there is no one to bring them back.","Recurring pro-Kremlin disinformation narrative about the disintegration of the European Union.
The European Union is supporting the Member States in addressing the crisis, and mitigating the economic consequences of the COVID-19 pandemic.
To cushion the blow to people’s livelihoods and the economy, the European Commission has adopted a comprehensive economic response to the outbreak, applied the full flexibility of the EU fiscal rules, has revised its State Aid rules and proposed to set up a EUR 37 billion Coronavirus Response Investment Initiative to provide liquidity to small businesses and the health care sector.
To support scientific research into the COVID-19, the European Commission earmarked 47,5 million EUR for shortlisted research projects that can improve epidemiology and public health, including preparedness and response to outbreaks.
The EU has also created first ever stockpile of medical equipment. 
Read more about the EU's response here and here. 
There are also examples of EU Member States helping each other in times of crisis, for example German hospitals offering to treat critical coronavirus patients from France. 
Following the outbreak of the COVID-19 virus, the U.S. Army has taken a number of precautionary measures to reduce the unnecessary spread of the disease, including scaling down the U.S.-led multinational Exercise 'Defender Europe 20'. However the Alliance’s essential work continues and NATO’s ability to conduct operations remains intact.",Disinfo: Amid the pandemic the idea of a united Europe has crashed,https://youtube.com/watch?v=8avwS78RilM&t=45240,NTV [from 12:34:00 to 13:00],Issue189,22/03/2020,Russian,"Slovakia, UK, Ukraine, Germany, Sweden","coronavirus, EU"
After the COVID-19 pandemic Italy or Germany may leave the EU,https://euvsdisinfo.eu/report/italy-or-germany-may-leave-the-eu/,22.03.2020,Evrozona @ Vesti FM,"EU, Italy, Germany","After the coronavirus the only way to prevent Italy from leaving the EU will be to buy it. Is Germany ready to pump tens of billions, possibly trillions into this? If Germany starts saving the EU too enthusiastically, social pressures within the country will lead to the regime change.
There is no sense for Germany to remain in the EU as well, it is only beneficial for poor countries. If Italy receives a lot of money from the EU, then it is worth for it to stay it, but is it worth for Germany to drag Italy on its shoulders?","Baseless speculation consistent with a recurring pro-Kremlin disinformation narrative about the imminent collapse of the EU.
The European Union is taking steps to cushion the blow of the pandemic to people’s livelihoods and the economy.  The European Commission has adopted a comprehensive economic response to the outbreak applied the full flexibility of the EU fiscal rules, has revised its State Aid rules and proposed to set up a EUR 37 billion Coronavirus Response Investment Initiative to provide liquidity to small businesses and the health care sector. Read more about the EU's response to the COVID-19 pandemic here.",Disinfo: After the COVID-19 pandemic Italy or Germany may leave the EU,https://radiovesti.ru/brand/62139/episode/2256288/,Evrozona @ Vesti FM [from 31:45 to 34:10],Issue189,22/03/2020,Russian,"EU, Italy, Germany","coronavirus, EU"
The EU has not provided any guidance to member states amid the COVID-19 crisis,https://euvsdisinfo.eu/report/the-eu-has-not-provided-any-guidance-to-member-states-amid-the-covid-19-crisis/,22.03.2020,Sputnik Czech,EU,"Only a few days ago the European Union decided to close its external borders. At the same time, it has failed to draw up any general principles or recommendations for countries that are facing a deadly threat.
The EU is a house of cards. It has shown itself to be a useless institution.","This is a recurring pro-Kremlin disinformation narrative about the alleged disintegration of the EU as a result of the coronavirus crisis.
The European Union is supporting Member States in addressing the crisis and has adopted measure to mitigate the economic consequences of the COVID-19 pandemic.
To cushion the blow to people’s livelihoods and the economy, the European Commission has adopted a comprehensive economic response to the outbreak, applied the full flexibility of the EU fiscal rules, has revised its State Aid rules and proposed to set up a EUR 37 billion Coronavirus Response Investment Initiative to provide liquidity to small businesses and the health care sector.
To support scientific research into COVID-19, the European Commission earmarked 47.5 million EUR for shortlisted research projects that can improve epidemiology and public health, including preparedness and response to outbreaks. The EU has also created first ever stockpile of medical equipment. 
Read more about the EU's response here and here. For similar cases, see here, here, and here.",Disinfo: The EU has not provided any guidance to member states amid the COVID-19 crisis,https://cz.sputniknews.com/nazory/2020032211696758-kohlicek-svet-po-pandemii-dojde-jiste-k-prehodnoceni-ultra-liberalnich-trendu/,Sputnik Czech,Issue190,22/03/2020,Czech,EU,"coronavirus, Euro-scepticism, EU, EU disintegration, European Union, Europe"
"COVID-19 is a fake, it's a political move to install hegemony",https://euvsdisinfo.eu/report/covid-19-is-a-fake-its-a-political-move-to-install-hegemony/,21.03.2020,News-Front - YouTube,US,"COVID-19 is a fake, it’s a common and not deadly virus. All those deaths in Italy cannot be because of the coronavirus.
It’s a political move to destroy small businesses and install deep state hegemony. US is adopting fascist measures to limit people’s freedom.","An unfounded conspiracy theory, sharing a recurrent pro-Kremlin narrative about ""secret elites"" controlling world leaders.
COVID-19 comes from a family of viruses originating in animals that include other viruses such as SARS and MERS. It was first reported in the Chinese city of Wuhan in central China and has been rapidly spreading across the world, with cases being reported in 190 countries, territories and areas. The number of COVID-19 cases surpassed 300,000 globally with over 14,000 deaths (with 5,476 only in Italy) by 23 March 2020.
Many other claims have been pushed by pro-Kremlin media since the outbreak started in January, for example, that governments overestimate the threat, that it was born in a laboratory to infect Chinese, that it is an element of hybrid warfare and that the remedy has been developed in Ukraine.","Disinfo: COVID-19 is a fake, it’s a political move to install hegemony",https://youtube.com/watch?v=jfBnsgtrOfU,News-Front - YouTube,Issue189,21/03/2020,Russian,US,"coronavirus, Conspiracy theory"
Latvia protects Nazi criminals,https://euvsdisinfo.eu/report/due-to-the-coronavirus-the-march-of-latvian-ss-legionnaires-was-cancelled/,21.03.2020,5-tv.ru,"Latvia, Baltic states","Due to coronavirus the march of Latvian SS legionnaires was cancelled. At the same time, Russia has announced the names of 96 Nazis criminals from Latvia who are alive and respected in Latvia. They managed to avoid responsibility by hiding in Nazi-loyal states.","Recurring pro-Kremlin disinformation narrative about Nazi/Fascist Baltic states, consistent with broader efforts of historical revisionism, to whitewash the role of the Soviet Union in the WW2.
For more information about the March 16 events in Latvia read here.
See related disinformation cases alleging that the Baltic States laugh at the memory of those who perished in Holocaust; that Nazis are in power in Latvia; that the Baltic authorities associate themselves with Hitler.",Disinfo: Latvia protects Nazi criminals,https://www.5-tv.ru/projects/broadcast/510325/itogi-nedeli-s15-po21marta-2020-goda/,5-tv.ru [from 42:56 to 43:30],Issue190,21/03/2020,Russian,"Latvia, Baltic states","Nazi/Fascist, Baltic states"
coronavirus is a conspiracy against freedom,https://euvsdisinfo.eu/report/coronavirus-is-conspiracy-against-freedom/,21.03.2020,Sputnik Germany,Germany,Coronavirus is a conspiracy against freedom.,"An unfounded conspiracy theory, sharing a recurrent pro-Kremlin narrative about political elites controlling world populations and reducing freedoms.
Political leaders call on people to adhere to quarantine, not to restrict freedoms and control citizens, but to prevent the rapid spread of the coronavirus.
COVID-19 comes from a family of viruses originating in animals that include other viruses such as SARS and MERS. It was first reported in the Chinese city of Wuhan in central China and has been rapidly spreading across the world, with cases being reported in at least 177 countries, territories and areas. The number of COVID-19 cases surpassed 657,000 globally with over 30,000 deaths (with 10,023 in Italy alone) by 29 March 2020.
See similar disinfo cases alleging that governments overestimate the threat, that it was made in a laboratory to infect Chinese, that it is an element of hybrid warfare and that the remedy has been developed in Ukraine.",Disinfo: Coronavirus is a conspiracy against freedom,https://de.sputniknews.com/kommentare/20200321326652080-die-virus-diktatur-verschwoerung-gegen-die-freiheit/?fbclid=IwAR1pCnzI3HgF7UB9uZv1W5-yc39PwXnphft7VIhiECVjd1GiA_uPr_OaARU,Sputnik Germany,Issue190,21/03/2020,German,Germany,"coronavirus, Conspiracy theory"
The official numbers of COVID-19 cases in Ukraine is totally fictional,https://euvsdisinfo.eu/report/the-official-numbers-of-covid-19-cases-in-ukraine-is-totally-fictional/,20.03.2020,southfront.org,Ukraine,"COVID19 has hit the Ukraine very, very hard.  The problem is that the authorities, which fully knew that they had no means to do anything meaningful began by thumping their chests and saying that there were no cases in the Ukraine only to then suddenly decree drastic quarantine measures.  And yet, the true information is seeping out: Ukrainians hospitals are full of cases, mostly un-diagnosed, and many have already died.  Officially, and as of right now, there are only 14 confirmed cases in the Ukraine, and only two fatalities.  But absolutely everybody knows that these numbers are totally fictional and that the real number of cases remains unknown due to a lack of testing kits, not a lack of cases.  MDs in Ukrainian hospitals are sounding the alarms, but nobody is listening.","An unfounded claim exacerbating the situation with the COVID-19 outbreak in Ukraine. Ukrainian media are reporting extensively about the outbreak and its spread in Ukraine. The outbreak is a serious challenge to any society, and Ukraine is addressing the outbreak with all available resources.
WHO statistics on the outbreak can be found here.",Disinfo: The official numbers of COVID-19 cases in Ukraine is totally fictional,https://southfront.org/there-is-a-ticking-time-bomb-in-the-ukraine/,southfront.org,Issue189,20/03/2020,English,Ukraine,"coronavirus, Ukrainian statehood"
The West is attacking Russia on coronavirus,https://euvsdisinfo.eu/report/the-west-is-attacking-russia-on-coronavirus/,20.03.2020,Sputnik Greece,"Greece, Russia","The Western world is once more attacking Russia by taking advantage of the new coronavirus. […] The EU is attempting to shift the blame to Russia and China in order to cover its own inefficiencies in combating the coronavirus outbreak. The EU and the European governments have been in a state of paralysis as far as it concerns the way they tackled the virus so far and they prefer to shift the blame to other countries, such as Russia and China.",This is an unfounded narrative promoted by the Kremlin to highlight that the EU has been incapable in making common decisions and reaching common solutions to the coronavirus outbreak. This news article is ignoring certain initiatives by EU institutions such as the decisions made by the Eurogroup on a common economic policy response and the European Commission on closing temporarily the EU borders for 30 days to protect health but also the announcement made by the European Central Bank (ECB) to launch a 750 billion euros Pandemic Emergency Purchase Programme (PEPP) to help the public and the private sector. See related pro-Kremlin disinformation cases about the coronavirus.,Disinfo: The West is attacking Russia on coronavirus,,,Issue 189,20/03/2020,Greek,"Greece, Russia","coronavirus, EU, EU disintegration, West, Anti-Russian"
The EU is disintegrating due to coronavirus,https://euvsdisinfo.eu/report/the-eu-is-disintegration-due-to-coronavirus-global-liberal-elites-attempt-to-remove-trump-and-putin/,20.03.2020,Sputnik Belarus,"EU, US","Due to the coronavirus epidemic, the EU is in a state of collapse, it has no leadership, the situation is hard in the US too. The coronavirus outbreak is used by the states as a rehearsal for an economic downturn. Combined with corrections to stock markets and provocative actions by Saudi Arabia which resulted in a drop in oil prices, a deep downturn can soon begin. Transnational bankers and liberal elites have realised that the situation is critical and started attempts to shake it even more. They wish to remove Trump and Putin at any cost, and the reason is simple: in a total crisis when a state takes on management, it is impossible to rule through the banking system and finance as it was the case for the past decades.","This message is the big conspiracy concept alleging that global finance elites have been ruling the world as real world government, mixed with a more recent narrative about the EU's helplessness in dealing with the coronavirus outbreak. Read our past analysis Why Authoritarians Love the Concept of the Big Conspiracy explaining why the idea of a Shadow World Government has always been very popular among conspiracy theorists.
Read earlier disinformation cases alleging that the coronavirus is a pretext for the Global Elites’ ambitions to reduce the world's population,and that coronavirus and economic crisis caught the EU by surprise because of its Russophobia.",Disinfo: The EU is disintegrating due to coronavirus,,,Issue 190,20/03/2020,Russian,"EU, US","coronavirus, Donald Trump, Vladimir Putin, Conspiracy"
coronavirus will cause the dissolution of the EU and NATO,https://euvsdisinfo.eu/report/coronavirus-will-cause-the-dissolution-of-the-eu-and-nato/,20.03.2020,"rubaltic.ru, riafan.ru","EU, USSR","Coronavirus will become for NATO and the EU what Chernobyl became for the Soviet Union, it will cause their dissolution.
The Chernobyl disaster is very similar to what is happening in the EU because of the coronavirus. The EU institutions remind of the Communist Party of the Soviet Union, they are now in the same situation.","No evidence given. This is part of recurring pro-Kremlin disinformation narratives about coronavirus and alleged ""EU disintegration"".
The European Union is supporting the Member States in addressing the crisis, and mitigating the economic consequences of the COVID-19 pandemic.
To cushion the blow to people’s livelihoods and the economy, the European Commission has adopted a comprehensive economic response to the outbreak, applied the full flexibility of the EU fiscal rules, has revised its State Aid rules and proposed to set up a EUR 37 billion Coronavirus Response Investment Initiative to provide liquidity to small businesses and the health care sector.
To support scientific research into the COVID-19, the European Commission earmarked 47,5 million EUR for shortlisted research projects that can improve epidemiology and public health, including preparedness and response to outbreaks.
The EU has also creates first ever stockpile of medical equipment. 
Read more about the EU's response here and here. 
Amid the coronavirus pandemic NATO's essential work continues and its ability to conduct operations remains intact.
Read more about the pro-Kremlin disinformation narrative of of the EU's imminent collapse here.",Disinfo: Coronavirus will cause the dissolution of the EU and NATO,https://www.rubaltic.ru/article/politika-i-obshchestvo/20032020-koronavirus-stanet-dlya-nato-i-es-tem-zhe-chem-stal-dlya-sovetskogo-soyuza-chernobyl/,rubaltic.ru,Issue189,20/03/2020,Russian,"EU, USSR","coronavirus, EU disintegration, Chernobyl"
De-communised Ukraine only receives help from communist China,https://euvsdisinfo.eu/report/de-communised-ukraine-takes-help-only-from-communist-china/,20.03.2020,60 minutes @ Rossiya 1 (50:02-50:15),"China, Ukraine","Ukraine is a decommunised country and now, in fact, the only state that expresses support and assistance, including masks and test systems, is communist China. And it’s okay, they take this help.","One of the Kremlin's disinformation narratives about decommunisation in Ukraine and part of the ongoing disinformation campaign around the coronavirus and how it could change the world order.
China is not the only one helping Ukraine. On 26th March, the European Union agreed to assist Ukraine in the fight against the virus. The EU will provide support for the health care system, in solving social issues and credit support for small and medium sized businesses.
Moreover, it was announced on 27 March that the United States would allocate $1.2 million in medical and humanitarian aid to Ukraine. The assistance ""will be given to the preparation of laboratory systems, detection of disease, providing technical support and information about the risks of spreading COVID-19.""
South Korea is also helping Ukraine with test systems and other medical equipment during the outbreak of coronavirus.
See related pro-Kremlin disinformation cases: The EU is only interested in sucking money from national governments and Default awaits Ukraine due to coronavirus- the country has run out of currency.",Disinfo: De-communised Ukraine only receives help from communist China,,,Issue 190,20/03/2020,Russian,"China, Ukraine",coronavirus
US servicemen imported coronavirus intentionally into China,https://euvsdisinfo.eu/report/us-servicemen-imported-coronavirus-intentionally-into-china/,20.03.2020,"News Front, geworld.ge, globalresearch.ca",US,US servicemen imported coronavirus intentionally into China. The fact that the coronavirus did not originate in China was proved by TSRI researcher Kristian Andersen.,"No proof given. A conspiracy theory, presented without evidence to support the claim that coronavirus was created in the USA. This is part of the Kremlin's ongoing coronavirus disinformation campaign. Read a similar case claiming that the US is behind the coronavirus.
In fact, the research organisation referenced, the Scripps Research Translational Institute (TSRI) proved that the new coronavirus originated through natural selection and is not a man-made virus. This study does not corroborate the pro-Kremlin media conspiracies but debunks them. Further debunking by Myth Detector.",Disinfo: US servicemen imported coronavirus intentionally into China,https://ge.news-front.info/2020/03/18/koronavirusi-chinethshi-ar-tsarmoishva-gamarjoba-lugaris-laboratoriav/?fbclid=IwAR1k_m_yLV_s78yjPSI6UsEm_hl0RO7U_cnGzoH2S3fFpRdVeP_6N3rFxeQ,News Front,Issue190,20/03/2020,"Georgian, English",US,"coronavirus, Conspiracy theory"
Pentagon-funded biological laboratories involved in creation of coronavirus,https://euvsdisinfo.eu/report/pentagon-funded-biological-laboratories-involved-in-creation-of-coronavirus/,19.03.2020,Iravunk.com,Armenia,Officials and media outlets have doubts about Pentagon-funded biological laboratories. American laboratories can be involved in creation of Coronavirus.,"Conspiracy theory about the 2019-nCoV coronavirus, based on recurring pro-Kremlin disinformation narratives about biological weapons. The narratives also resemble a recurring conspiracy theory about the Lugar Lab in Georgia.
The virus ""2019-nCoV” comes from a family of viruses that include the common cold and viruses such as SARS and MERS. There is no evidence to suggest it was developed artificially in a laboratory as a weapon of mass destruction. A group of public health scientists have condemned rumours and conspiracy theories about the origin of coronavirus outbreak. ""We stand together to strongly condemn conspiracy theories suggesting that COVID-19 does not have a natural origin.The authors of The Lancet statement note that scientists from several countries who have studied SARS-CoV-2 “overwhelmingly conclude that this coronavirus originated in wildlife, just like many other viruses that have recently emerged in humans.
There are numerous similar disinformation cases about coronavirus claiming that Coronavirus was created in a laboratory, or that Coronavirus an Anglo-Saxon biological warning: originates in US labs, is a US provocation against China, Coronavirus is a tool to weaken the Chinese economy, Coronavirus is an attempt by the Anglo-Saxons to control China.",Disinfo: Pentagon-funded biological laboratories involved in creation of Coronavirus,https://www.iravunk.com/news/107584,Iravunk.com,Issue189,19/03/2020,Armenian,Armenia,"coronavirus, Lugar Laboratory, laboratory, Biological weapons"
coronavirus is a colour revolution technology,https://euvsdisinfo.eu/report/coronavirus-is-a-colour-revolution-technology/,19.03.2020,News-Front - YouTube,"China, US","The current coronavirus pandemic can be compare to the technology of “colour revolutions.” In fact, the same technology is being worked out, but with different materials. We get the same technology and the hysteria around it. The training manual is a little bit different, but we see the same signs, the same blanks, and even the same goals. The goal is not to change only one country but the world order to suit someone’s interests. Now, this technology is being developed on a global scale and this is the main problem. We are faced with a new type of weapon of mass destruction, a psychological weapon that affects hundreds of millions of people. It doesn’t affect the lungs, it affects the brain and makes people an ordinary dumb herd, the cattle that run where they are told to run.","Conspiracy theory, no evidence given. One of many recurring Kremlin disinformation narratives claiming that the outbreak of COVID-19 coronavirus is man-made. Consistent with a narrative suggesting that the West is using biological weapons to stage ""colour revolutions"" in other countries.
COVID-19 is not a biological weapon and it was not developed as an instrument to provoke ""colour revolutions"". A recent analysis of the genome sequence of SARS-CoV-2 virus found no evidence that it was developed artificially in a lab or otherwise engineered. Most probably the disease originated in a Wuhan wet market. The virus comes from a family of viruses originating in animals that include other viruses such as SARS and MERS. It was first reported in the Chinese city of Wuhan in central China and has been rapidly spreading across the world, with cases being reported in 168 countries, territories and areas by 19 March 2020.
Many other claims have been pushed by pro-Kremlin media since the outbreak started in January, for example, that COVID-19 is a biological weapon to make planet's population infertile, that it was born in a laboratory to infect the Chinese, that it is an element of hybrid warfare and that it is a pretext to introduce tyranny by the ruling class.",Disinfo: Coronavirus is a colour revolution technology,https://youtube.com/watch?v=N1p-5LEHF5E&t=265,News-Front - YouTube,Issue189,19/03/2020,Russian,"China, US","coronavirus, Colour revolutions"
The Baltic states may not survive the coronavirus-related economic crisis,https://euvsdisinfo.eu/report/the-baltic-states-may-not-survive-the-coronavirus-related-economic-crisis/,19.03.2020,rubaltic.ru,"Latvia, Estonia, Lithuania",The coronavirus attacked all foundations of beneficial post-Soviet model of the Baltic states’ existence. In the light of a coronavirus-related economic crisis the EU will radically cut subsidies for the Baltic states’ agriculture and infrastructural projects such as Rail Baltica. A total termination of EU subsidies to the Eastern European countries – another pillar of the Baltic states’ economies –  cannot be ruled out. The Baltic states may not survive so considerable economic losses.,"This case is consistent with recurring pro-Kremlin narratives about socio-economic degradation in the Baltic States as opposed to their alleged well-being under the USSR and EU's imminent collapse due to coronavirus epidemic. In fact, the economic situation of all three Baltic States is strong and demonstrates some of the leading economic growth indicators in the EU. The dynamics over the past years are available here.

Read earlier disinformation cases alleging that coronavirus and economic crisis caught the EU by surprise because of its Russophobia, that the Baltic states are dying because they chose not to be with Russia, that Lithuania will be depopulated in 20 years, that the EU intentionally destroyed economies of the Baltic states, and that they have lost industry, agriculture, and population as a result of EU membership.",Disinfo: The Baltic states may not survive the coronavirus-related economic crisis,https://www.rubaltic.ru/article/politika-i-obshchestvo/19032020-koronavirus-vyzval-katastrofu-pribaltiki/,rubaltic.ru,Issue189,19/03/2020,Russian,"Latvia, Estonia, Lithuania","coronavirus, Economic difficulties, Baltic states"
coronavirus is a nail in the coffin of the EU,https://euvsdisinfo.eu/report/eu-failed-to-respond-to-the-coronavirus-outbreak/,19.03.2020,Polnyy Kontakt @Vesti FM,"Italy, Hungary, Slovakia, Czech Republic, Latvia, Estonia, Lithuania, Poland","This (the situation caused by the coronavirus) is certainly the nail in the coffin of the European Union as an idea and a system. Where is the mutual assistance between EU states? Where are the measures that should quickly and effectively stop the spreading of this pandemic from one country to another? Italians are so furious. They hoped that EU neighbours would help them, but they are being stamped down. They were put in a position where doctors must choose who lives and who dies. (…) Eastern Europe is simply left to its own devices.","This claim exploits the coronavirus pandemic to push a recurring pro-Kremlin disinformation narrative about the EU's alleged imminent collapse. It also aims to pit EU member states against each other in an attempt to undermine European solidarity - another recurring pro-Kremlin disinformation tactic. There is no evidence to support the doomsday claim that the pandemic is resulting in the death or obsolescence of the EU.
To cushion the blow to people’s livelihoods and the economy, the European Commission has adopted a comprehensive economic response to the outbreak, applied the full flexibility of the EU fiscal rules, has revised its State Aid rules and proposed to set up a EUR 37 billion Coronavirus Response Investment Initiative to provide liquidity to small businesses and the health care sector.
To support scientific research into the COVID-19, the European Commission has earmarked 47,5 million EUR for shortlisted research projects that can improve epidemiology and public health, including preparedness and response to outbreaks. The EU has also created first ever stockpile of medical equipment. 
EU Member States are also helping each other in this crisis, for example German hospitals offering to treat critical coronavirus patients from France as well as taking in patients from Italy, and the Czech Republic sending masks to Italy.
Read more about the EU's response here and here.",Disinfo: Coronavirus is a nail in the coffin of the EU,https://youtube.com/watch?v=83Gx7QBZjCw&t=886,Polnyy Kontakt @Vesti FM,Issue189,19/03/2020,Russian,"Italy, Hungary, Slovakia, Czech Republic, Latvia, Estonia, Lithuania, Poland","Eastern Europe, Central Europe, European Union, European values, Europe"
coronavirus was developed in a laboratory; it has HIV inserts,https://euvsdisinfo.eu/report/coronavirus-was-developed-in-a-laboratory-it-has-hiv-inserts/,19.03.2020,Pervyi kanal - Vremya Pokazhet,"India, China, Russia","In India [researchers] have decoded the coronavirus genome. What did they find? On the surface [of the virus] there is a protein, a glycoprotein, and there are four HIV inserts. This is key. (…) It could not have happened naturally. These inserts could only be created in a laboratory.","Conspiracy theory with no evidence given. One of many recurring Kremlin disinformation narratives claiming that the outbreak of COVID-19 coronavirus is man-made.
COVID-19 is not a biological weapon. A recent analysis of the genome sequence of SARS-CoV-2 virus found no evidence that it was developed artificially in a lab or otherwise engineered. The virus comes from a family of viruses originating in animals that include other viruses such as SARS and MERS. It was first reported in the Chinese city of Wuhan in central China and has been rapidly spreading across the world. The number of COVID-19 cases surpassed 300,000 globally with over 14,000 deaths by 23 March 2020. Cases have been reported in 190 countries, territories and areas.
Many other claims have been pushed by pro-Kremlin media since the outbreak started in January 2020, for example, that COVID-19 is a biological weapon to make the planet's population infertile, that it was born in a laboratory to infect the Chinese, that it is an element of hybrid warfare and that it is a pretext to introduce tyranny by the ruling class.",Disinfo: Coronavirus was developed in a laboratory; it has HIV inserts,https://www.1tv.ru/shows/vremya-pokazhet/vypuski/vremya-pokazhet-vypusk-ot-19-03-2020,Pervyi kanal - Vremya Pokazhet,Issue189,19/03/2020,Russian,"India, China, Russia","coronavirus, Conspiracy theory, health, Conspiracy"
"The coronavirus will provoke the definite, rapid and irreversibile collapse of globalisation",https://euvsdisinfo.eu/report/the-coronavirus-will-provoke-the-definite-rapid-and-irreversibile-collapse-of-globalisation/,19.03.2020,Geopolitica.ru,US,"The coronavirus will provoke the definite, rapid and irreversibile collapse of globalisation. If the spread of the virus is not contained in one and a half-two months, the entire global order will collapse from one day to another.","Emerging pro-Kremlin narrative claiming that  the coronavirus pandemic will soon lead to the breakdown of globalisation and the collapse of the global economic system. The narrative of  “imminent collapse”  is one of the core instruments of pro-Kremlin disinformation outlets, used to spread demoralisation and self-doubt among target audiences, as well as to sow discord, panic and diminish trust in national authorities, the EU and international institutions.
The article provides no evidence to support its apocalyptic claims about the imminent collapse of global order and the breakdown of globalisation. The COVID-19 pandemic is halting travel and commerce across the globe. Its spread will slow the global economy which is heavily dependent on international production and global supply chains. While the pandemic is a challenge for globalization, it will not bring the end to this long-term process. Globalisation has brought significant benefits for billions of people, and most of the world will not be eager to do away with these benefits and with the free movement of people, goods and capital.
COVID-19, as well as future pandemics, can only be countered by means of international cooperation.  A coordinated, cross-border effort to monitor and treat the disease, and to speedily develop and disseminate a vaccine across national borders, will end the pandemic. Both the COVID-19 epidemic and the resulting economic crisis are global threats. They can be countered effectively only by means of global cooperation.
Read here a previous case claiming that the coronavirus represents the end of globalisation.","Disinfo: The coronavirus will provoke the definite, rapid and irreversibile collapse of globalisation",,,Issue 189,19/03/2020,Italian,US,coronavirus
Only authoritarian states and closed societies will be able to protect their populations from the coronavirus and from future pandemics,https://euvsdisinfo.eu/report/only-authoritarian-states-and-closed-societies-will-be-able-to-protect-their-populations-from-the-coronavirus-and-from-future-pandemics/,19.03.2020,Geopolitica.ru,"China, Russia","Globalism and the unipolar order are crumbling. In order to survive and cope with new challenges, nations must adopt a new model for the state, new forms of governance, and a new ideology. Nations must shift to an alternative, post-globalist, model of the state and society. The open society must become a closed society. Also necessary is an autoritarian state that exerts rigid centralised control over society, and a self-sufficient economic system. A rigid authoritarian state and closed society are necessary in order to protect a country’s population from the coronavirus and from future pandemic outbreaks.","The article’s claims about the superiority of political authoritarianism and isolationist “closed societies” in preventing and controlling epidemics do not reflect reality. Authoritarian regimes, which tend to control and manipulate information and to limit the freedom of doctors and scientists to engage in international cooperation, are often an obstacle to the timely detection and containment of epidemic outbreaks.
A clear example is China’s deliberate cover-up of the early days of the coronavirus outbreak in Wuhan. The regime suppressed information about the virus and allowed it to spread unchecked in the crucial early days and weeks. The Chinese government censored and detained those doctors and whistleblowers who attempted to sound the alarm and warn their fellow citizens when they understood the gravity of the coronavirus threat.
Furthermore, the real antidote to the coronavirus pandemic (and to future epidemic outbreaks) is not to revert to nationalist isolationism and “closed societies” but to develop a global response.
A coordinated, cross-border effort of the scientific and medical community to  understand the virus, create cures and treatments, and speedily disseminate a vaccine across national borders, will end the pandemic.
Read here a previous case  claiming that democracy and freedom prevent Europe from fighting the virus effectively.",Disinfo: Only authoritarian states and closed societies will be able to protect their populations from the coronavirus and from future pandemics,,,Issue 189,19/03/2020,Italian,"China, Russia","coronavirus, Democracy"
